date,config_path,strategy_label,portfolio_value,cash,daily_return,cumulative_return,latest_data_date,refresh_data,recorded_at
2026-05-14,configs/bigquant_rotation_hybrid_candidate_take_profit.yaml,PYF国内ETF止盈轮动,150799.50199127197,430.5999279022217,0.0,0.0,2026-05-14,True,2026-05-15T01:39:33+00:00
2026-05-15,configs/bigquant_rotation_hybrid_candidate_take_profit.yaml,PYF国内ETF止盈轮动,148342.59328842163,430.5999279022217,-0.016292551834770297,-0.016292551834770297,2026-05-15,True,2026-05-16T09:00:54+00:00
2026-05-15,configs/bigquant_rotation_hybrid_position_cap.yaml,短线Sharpe最优：国内Hybrid轮动,148342.59328842163,430.5999279022217,0.0,0.0,2026-05-15,True,2026-05-18T01:19:19+00:00
2026-05-18,configs/bigquant_rotation_hybrid_position_cap.yaml,短线Sharpe最优：国内Hybrid轮动,148342.59328842163,430.5999279022217,0.0,0.0,2026-05-18,True,2026-05-19T01:17:09+00:00
2026-05-19,configs/bigquant_rotation_hybrid_position_cap.yaml,短线Sharpe最优：国内Hybrid轮动,146954.40402030945,430.5999279022217,-0.009357995147173503,-0.009357995147173503,2026-05-19,True,2026-05-20T01:18:51+00:00
2026-05-21,configs/bigquant_rotation_hybrid_position_cap.yaml,短线Sharpe最优：国内Hybrid轮动,147104.99868392944,430.5999279022217,0.0010247713542439474,-0.008342813598289589,2026-05-21,True,2026-05-22T01:44:24+00:00
2026-05-22,configs/bigquant_rotation_hybrid_position_cap.yaml,短线Sharpe最优：国内Hybrid轮动,147864.4993543625,430.5999279022217,0.005162983428353085,-0.0032229039782902813,2026-05-22,True,2026-05-22T01:53:59+00:00
2026-05-25,configs/bigquant_rotation_hybrid_position_cap.yaml,短线Sharpe最优：国内Hybrid轮动,149527.3994922638,253.6013126373291,0.011246108059488336,0.007986958954792955,2026-05-25,True,2026-05-26T01:19:58+00:00
2026-05-27,configs/bigquant_rotation_hybrid_position_cap.yaml,短线Sharpe最优：国内Hybrid轮动,152215.90585708618,107.20584392547607,0.017980024891434576,0.026110589567041487,2026-05-27,True,2026-05-28T01:19:37+00:00
2026-05-28,configs/bigquant_rotation_hybrid_position_cap.yaml,短线Sharpe最优：国内Hybrid轮动,152665.30632972717,-158.89315605163574,0.002952388386157967,0.029140066554593114,2026-05-28,True,2026-05-29T01:18:55+00:00
2026-05-29,configs/bigquant_rotation_hybrid_position_cap.yaml,短线Sharpe最优：国内Hybrid轮动,154479.0001153946,389.800500869751,0.011880196157666667,0.04136645241897563,2026-05-29,True,2026-05-31T14:29:15+00:00
2026-05-15,configs/global_etf_position_cap_yahoo.yaml,长线Sharpe最优：全球ETF轮动,430.5999279022217,430.5999279022217,0.0,0.0,2026-05-15,True,2026-05-18T01:22:08+00:00
