symbol,shares,cash
159915.SZ,15300.0,
159985.SZ,0.0,
160723.SZ,0.0,
510300.SH,0.0,
513100.SH,0.0,
513130.SH,0.0,
513500.SH,36200.0,
513600.SH,0.0,
518880.SH,0.0,
CASH,0,-95.29664516448975
