,date,symbol,open,high,low,close,volume
0,2006-02-06,LQD,106.87000274658203,107.1500015258789,106.8499984741211,47.67802429199219,108700
1,2006-02-07,LQD,106.9000015258789,107.44000244140625,106.80000305175781,47.55787658691406,90400
2,2006-02-08,LQD,106.9000015258789,107.05000305175781,106.75,47.55787658691406,76300
3,2006-02-09,LQD,106.83000183105469,107.11000061035156,106.7699966430664,47.6335334777832,91300
4,2006-02-10,LQD,107.0999984741211,107.26000213623047,106.72000122070312,47.54449462890625,85200
5,2006-02-13,LQD,106.9800033569336,107.06999969482422,106.76000213623047,47.615753173828125,71600
6,2006-02-14,LQD,106.83999633789062,107.02999877929688,106.66999816894531,47.56676483154297,55600
7,2006-02-15,LQD,106.97000122070312,107.27999877929688,106.80999755859375,47.597904205322266,140500
8,2006-02-16,LQD,106.91000366210938,107.19000244140625,106.87000274658203,47.6646728515625,99500
9,2006-02-17,LQD,107.38999938964844,107.6500015258789,107.30999755859375,47.82050323486328,101200
10,2006-02-21,LQD,107.51000213623047,107.5199966430664,107.26000213623047,47.79826736450195,92300
11,2006-02-22,LQD,107.58999633789062,107.7699966430664,107.44000244140625,47.97630310058594,74200
12,2006-02-23,LQD,107.63999938964844,107.6500015258789,107.25,47.86947250366211,63500
13,2006-02-24,LQD,107.69000244140625,107.69000244140625,107.38999938964844,47.84722900390625,75300
14,2006-02-27,LQD,107.69999694824219,107.69999694824219,107.30999755859375,47.82495880126953,71900
15,2006-02-28,LQD,107.5,107.77999877929688,107.41000366210938,47.873924255371094,71900
16,2006-03-01,LQD,107.0,107.30000305175781,106.43000030517578,47.689300537109375,220400
17,2006-03-02,LQD,106.5,106.76000213623047,106.06999969482422,47.47031021118164,136700
18,2006-03-03,LQD,106.4000015258789,106.41999816894531,105.68000030517578,47.38090515136719,132300
19,2006-03-06,LQD,106.04000091552734,106.05000305175781,105.44999694824219,47.13505554199219,157800
20,2006-03-07,LQD,105.66999816894531,105.83999633789062,105.2300033569336,47.11268615722656,120500
21,2006-03-08,LQD,105.55999755859375,105.63999938964844,105.19999694824219,47.13505554199219,75300
22,2006-03-09,LQD,105.3499984741211,105.9000015258789,105.3499984741211,47.126094818115234,84300
23,2006-03-10,LQD,105.4800033569336,105.69999694824219,105.16000366210938,47.24679183959961,100900
24,2006-03-13,LQD,105.5,105.76000213623047,105.04000091552734,47.184234619140625,69200
25,2006-03-14,LQD,105.98999786376953,106.33000183105469,105.7300033569336,47.488162994384766,61600
26,2006-03-15,LQD,106.19000244140625,106.2300033569336,105.91000366210938,47.41667175292969,117700
27,2006-03-16,LQD,106.12000274658203,106.80000305175781,106.12000274658203,47.67596435546875,101000
28,2006-03-17,LQD,106.66000366210938,106.70999908447266,106.5,47.6312255859375,56200
29,2006-03-20,LQD,106.73999786376953,106.7699966430664,106.12000274658203,47.68486404418945,63500
30,2006-03-21,LQD,106.26000213623047,106.75,106.19999694824219,47.50608444213867,80000
31,2006-03-22,LQD,106.30000305175781,106.68000030517578,105.94999694824219,47.49711227416992,75100
32,2006-03-23,LQD,106.38999938964844,106.44999694824219,105.75,47.47031021118164,79400
33,2006-03-24,LQD,106.41000366210938,106.76000213623047,105.8499984741211,47.586544036865234,85800
34,2006-03-27,LQD,106.22000122070312,106.75,106.22000122070312,47.586544036865234,92800
35,2006-03-28,LQD,106.0199966430664,106.36000061035156,105.87999725341797,47.36301040649414,61800
36,2006-03-29,LQD,105.95999908447266,105.97000122070312,105.6500015258789,47.318336486816406,83800
37,2006-03-30,LQD,105.69999694824219,105.75,105.20999908447266,47.175270080566406,93700
38,2006-03-31,LQD,105.66999816894531,105.66999816894531,105.2699966430664,47.0679931640625,102200
39,2006-04-03,LQD,104.80000305175781,105.1500015258789,104.55000305175781,47.107505798339844,114200
40,2006-04-04,LQD,104.81999969482422,105.30000305175781,104.81999969482422,47.152400970458984,83000
41,2006-04-05,LQD,105.43000030517578,105.48999786376953,105.0999984741211,47.3094482421875,80200
42,2006-04-06,LQD,105.19999694824219,105.19999694824219,104.8499984741211,47.13895034790039,82400
43,2006-04-07,LQD,104.80999755859375,104.87000274658203,104.36000061035156,46.954898834228516,80100
44,2006-04-10,LQD,104.66000366210938,104.73999786376953,104.25,46.85167694091797,299000
45,2006-04-11,LQD,104.5,104.83999633789062,104.41999816894531,46.986324310302734,101600
46,2006-04-12,LQD,104.69000244140625,104.97000122070312,104.19999694824219,46.838191986083984,138700
47,2006-04-13,LQD,104.30000305175781,104.30000305175781,103.80000305175781,46.74839782714844,100500
48,2006-04-17,LQD,103.94999694824219,104.3499984741211,103.41000366210938,46.73943328857422,110300
49,2006-04-18,LQD,104.30000305175781,104.58999633789062,104.19999694824219,46.927947998046875,76700
50,2006-04-19,LQD,104.3499984741211,104.48999786376953,104.26000213623047,46.896541595458984,87200
51,2006-04-20,LQD,104.52999877929688,104.55999755859375,104.30000305175781,46.87413787841797,63400
52,2006-04-21,LQD,104.62999725341797,104.69000244140625,104.36000061035156,46.9638557434082,84200
53,2006-04-24,LQD,104.69000244140625,104.9800033569336,104.56999969482422,47.05813980102539,82200
54,2006-04-25,LQD,104.86000061035156,104.86000061035156,104.2699966430664,46.83370590209961,93100
55,2006-04-26,LQD,104.26000213623047,104.3499984741211,104.06999969482422,46.77985382080078,173100
56,2006-04-27,LQD,104.19999694824219,104.75,104.08000183105469,46.86514663696289,74300
57,2006-04-28,LQD,104.56999969482422,104.69000244140625,104.44000244140625,46.97285461425781,90600
58,2006-05-01,LQD,104.01000213623047,104.13999938964844,103.61000061035156,46.73484802246094,72800
59,2006-05-02,LQD,103.63999938964844,104.0,103.63999938964844,46.806915283203125,76600
60,2006-05-03,LQD,103.66000366210938,103.97000122070312,103.55999755859375,46.806915283203125,85900
61,2006-05-04,LQD,103.9000015258789,103.9000015258789,103.55000305175781,46.7889289855957,86900
62,2006-05-05,LQD,104.0,104.0999984741211,103.86000061035156,46.84299850463867,72700
